Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Ten Oever, Sanne; Sack, Alexander T; ",Oscillatory phase shapes syllable perception,Proceedings of the National Academy of Sciences,112,52,15833-15837,2015,National Academy of Sciences
"Ten Oever, Sanne; Hausfeld, Lars; Correia, João Mendonca; Van Atteveldt, Nienke; Formisano, Elia; Sack, Alexander Thomas; ",A 7T fMRI study investigating the influence of oscillatory phase on syllable representations,NeuroImage,141,,1-9,2016,Academic Press
"Ten Oever, Sanne; Sack, Alexander T; ",Interactions between rhythmic and feature predictions to create parallel time-content associations,Frontiers in neuroscience,13,,791,2019,Frontiers
"Ten Oever, Sanne; De Weerd, Peter; Sack, Alexander T; ",Phase-dependent amplification of working memory content and performance,Nature communications,11,1,1-8,2020,Nature Publishing Group
"Ten Oever, Sanne; Meierdierks, Tobias; Duecker, Felix; De Graaf, Tom A; Sack, Alexander T; ",Phase-coded oscillatory ordering promotes the separation of closely matched representations to optimize perceptual discrimination,Iscience,23,7,101282,2020,Elsevier
"Ten Oever, Sanne; Sack, Alexander T; Oehrn, Carina R; Axmacher, Nikolai; ",An engram of intentionally forgotten information,Nature communications,12,1,1-14,2021,Nature Publishing Group
